nombre,lat,lon
LA ESTRELLA,6.15841993,284.384809618
LA PINTADA,5.74380769651,284.4221942519
LA UNIÓN,5.97387113417,284.6691377089
LIBORINA,6.67732537607,284.2171673925
MACEO,6.55211468066,285.2428428838
MARINILLA,6.17404951538,284.6905401633
MONTEBELLO,5.94632388294,284.5064901053
MURINDÓ,6.97768956086,283.2125404733
MUTATÁ,7.24287193339,283.5941241041
NARIÑO,5.61077722195,284.8537382289
NECOCLÍ,8.426136098,283.245425503
NECHÍ,8.09412977783,285.2535300389
OLAYA,6.62660499706,284.2181255832
PEÑOL,6.21945021233,284.7871821868
PEQUE,7.02103925848,284.1196443011
PUEBLORRICO,5.79168858961,284.1902865252
PUERTO BERRÍO,6.48703921007,285.6200540214
PUERTO NARE,6.18602382303,285.4469883944
PUERTO TRIUNFO,5.87120719689,285.3887343618
REMEDIOS,7.02939076621,285.3319528364
RETIRO,6.06338107129,284.5286243341
RIONEGRO,6.1472245313,284.6532332443
SABANALARGA,6.85002081371,284.2133540636
SABANETA,6.15096981767,284.4144154584
SALGAR,5.965640311,284.047951456
SAN ANDRÉS DE CUERQUÍA,6.91680279924,284.3552660141
SAN CARLOS,6.18798980145,285.0420394842
SAN FRANCISCO,5.96362010537,284.9284304507
SAN JERÓNIMO,6.44806585636,284.3029999157
SAN JOSÉ DE LA MONTAÑA,6.85008880044,284.3466435818
SAN JUAN DE URABÁ,8.75934428139,283.5011989584
SAN LUIS,6.04298332565,285.0363598745
SAN PEDRO DE LOS MILAGROS,6.46013808244,284.4732810759
SAN PEDRO DE URABÁ,8.27688468914,283.6494214209
SAN RAFAEL,6.29375698332,285.0020171193
SAN ROQUE,6.48594047044,285.0108338516
SAN VICENTE,6.28215220866,284.6973886189
SANTA BÁRBARA,5.87554181135,284.4626451366
SANTA ROSA DE OSOS,6.64332643406,284.569259963
SANTO DOMINGO,6.47283350377,284.8650419408
EL SANTUARIO,6.13685720436,284.7645320196
SEGOVIA,7.07963898594,285.328411278
SONSÓN,5.7148075835,284.7206039876
SOPETRÁN,6.50099259435,284.2827471344
TÁMESIS,5.66446916892,284.3156800251
TARAZÁ,7.58011943984,284.6285907882
TARSO,5.86455255901,284.2070495107
TITIRIBÍ,6.06239757787,284.238111251
TOLEDO,7.01015899618,284.3385642391
TURBO,8.08911317497,283.3008403418
URAMITA,6.89849767647,283.8565944322
URRAO,6.31731976564,283.8960488512
VALDIVIA,7.1653440936,284.5908017457
VALPARAÍSO,5.6145548154,284.4055364532
VEGACHÍ,6.77345020849,285.2312731261
VENECIA,5.96473060641,284.2944999321
VIGÍA DEL FUERTE,6.58812341865,283.1338137524
YALÍ,6.67657240531,285.1899468078
YARUMAL,6.96387109143,284.6111672254
YOLOMBÓ,6.59459588827,285.0166520491
YONDÓ,7.00394143169,286.1175432149
ZARAGOZA,7.48858244262,285.1629271128
